annee,region,projets_recrutement
2024,La Réunion,37593
2025,Guyane,7271
2025,Centre-Val de Loire,84515
2025,Normandie,109675
2026,Mayotte,7908
2026,Grand Est,159012
2026,Nouvelle-Aquitaine,244886
2023,Guyane,9206
2023,Centre-Val de Loire,101990
2023,Normandie,138082
2024,Occitanie,258347
2025,Grand Est,160893
2025,Nouvelle-Aquitaine,266207
2025,Mayotte,5732
2026,Centre-Val de Loire,79047
2026,Normandie,98296
2026,Guyane,6290
2023,Mayotte,7123
2023,Grand Est,200180
2023,Nouvelle-Aquitaine,335033
2024,Provence-Alpes-Côte d'Azur,246545
2024,Corse,26877
2024,Guadeloupe,15932
2024,Bourgogne-Franche-Comté,96872
2025,Hauts-de-France,155530
2025,Bretagne,129773
2025,Auvergne-Rhône-Alpes,271058
2026,Martinique,12345
2026,Île-de-France,386835
2023,Hauts-de-France,205288
2023,Bretagne,161284
2023,Auvergne-Rhône-Alpes,366731
2024,Martinique,13711
2024,Île-de-France,488321
2025,Pays de la Loire,166498
2026,Guadeloupe,13205
2026,Bourgogne-Franche-Comté,82919
2026,Provence-Alpes-Côte d'Azur,213783
2026,Corse,22807
2023,Pays de la Loire,203271
2024,Hauts-de-France,174511
2024,Bretagne,150753
2024,Auvergne-Rhône-Alpes,317806
2025,Guadeloupe,14002
2025,Bourgogne-Franche-Comté,84768
2025,Provence-Alpes-Côte d'Azur,219653
2025,Corse,24127
2026,Pays de la Loire,152219
2023,Guadeloupe,17302
2023,Bourgogne-Franche-Comté,105643
2023,Provence-Alpes-Côte d'Azur,276755
2023,Corse,28969
2024,Pays de la Loire,187291
2025,Martinique,13013
2025,Île-de-France,439124
2026,Hauts-de-France,148580
2026,Bretagne,129244
2026,Auvergne-Rhône-Alpes,249824
2023,Martinique,16107
2023,Île-de-France,523139
2024,Guyane,8804
2024,Centre-Val de Loire,98613
2024,Normandie,123242
2025,La Réunion,34671
2026,Occitanie,196695
2023,La Réunion,40225
2024,Grand Est,189816
2024,Nouvelle-Aquitaine,309875
2024,Mayotte,6160
2025,Occitanie,214595
2026,La Réunion,33591
2023,Occitanie,276806
