annee,nomenclature,code_metier_bmo,nom_metier_bmo,projets_recrutement,projets_difficiles,projets_saisonniers
2025,FAP2021,M2X91,Chefs de projet et directeurs de service informatique,3027,1548,
2025,FAP2021,M2X93,Experts et consultants en systèmes d'information,6411,3423,65.0
2025,FAP2021,M1X80,Techniciens d'étude et de développement en informatique,13987,6940,216.0
2024,FAP2021,M1X80,Techniciens d'étude et de développement en informatique,18352,11880,379.0
2026,FAP2021,M1X80,Techniciens d'étude et de développement en informatique,9331,4017,210.0
2023,FAP2009,M0Z60,Employés et opérateurs en informatique,11745,7485,362.0
2025,FAP2021,M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",10754,5259,460.0
2023,FAP2009,M1Z80,Techniciens d'étude et de développement en informatique,13183,9058,243.0
2024,FAP2021,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",24297,16931,123.0
2025,FAP2021,M2X92,"Responsables et cadres de la production, de l'exploitation et de la maintenance informatique et télécom",2457,878,7.0
2026,FAP2021,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",18127,10416,112.0
2023,FAP2009,M2Z91,"Ingénieurs et cadres d'administration, maintenance en informatique",2060,1311,7.0
2024,FAP2021,M2X91,Chefs de projet et directeurs de service informatique,3631,2136,33.0
2024,FAP2021,M2X93,Experts et consultants en systèmes d'information,7614,5283,69.0
2026,FAP2021,M2X91,Chefs de projet et directeurs de service informatique,2190,988,54.0
2026,FAP2021,M2X93,Experts et consultants en systèmes d'information,4758,2137,21.0
2024,FAP2021,M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",14774,8609,257.0
2026,FAP2021,M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",7667,3648,295.0
2023,FAP2009,M1Z81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",9839,6404,325.0
2023,FAP2009,M2Z92,Ingénieurs et cadres des télécommunications,1672,829,
2024,FAP2021,M2X92,"Responsables et cadres de la production, de l'exploitation et de la maintenance informatique et télécom",4357,1925,33.0
2025,FAP2021,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",22509,13840,216.0
2026,FAP2021,M2X92,"Responsables et cadres de la production, de l'exploitation et de la maintenance informatique et télécom",1882,736,16.0
2023,FAP2009,M2Z90,"Ingénieurs et cadres d'étude, recherche et développement en informatique, chefs de projets informatiques",40756,28235,255.0
