rome_code,numero_fiche,certification_intitule,nombre_offres
M1806,RNCP40534,"Ingénieur diplômé de l'École Supérieure de Chimie, Physique, Électronique de Lyon, spécialité informatique et réseaux",136
K2402,RNCP37583,Diplômes d’études spécialisées vétérinaires spécialité ophtalmologie,1
M1204,RNCP38148,Diplôme supérieur en marketing commerce et gestion,2
M1806,RNCP36399,Expert en sécurité digitale,136
M1806,RNCP36153,Gestionnaire de l'information numérique,136
M1806,RNCP38047,Chef de projet web et stratégie digitale,136
M1806,RNCP39445,Ingénieur diplômé de l'Institut supérieur d'électronique de Paris,136
H1206,RNCP38969,Microbiologie (fiche nationale),9
H1206,RNCP39453,"Ingénieur diplômé de l’École Nationale Supérieure d’Ingénieurs de l’Université de Poitiers, spécialité Energétique et Environnement",9
H1206,RNCP39848,Chargé de projet en ingénierie numérique dans l'industrie,9
H1206,RNCP39914,"Ingénieur diplômé de l’Institut Agro Rennes-Angers de l’Institut national d’enseignement supérieur pour l’agriculture, l’alimentation et l’environnement (Institut Agro), spécialité agroalimentaire",9
M1805,RNCP40612,"Ingénieur diplômé du CESI, spécialité informatique",14
M1805,RNCP41168,"Ingénieur diplômé de l'Ecole polytechnique universitaire de l'Université Paris-Saclay, spécialité Electronique ",14
M1805,RNCP41577,Génie électrique et informatique industrielle : Automatisme et informatique industrielle,14
M1806,RNCP38906,Architecte internet des objets,136
M1806,RNCP39278,Informatique (fiche nationale),136
M1806,RNCP42547,"Ingénieur diplômé de l’école supérieure de Chimie Physique Electronique de Lyon (CPE Lyon), spécialité informatique et cybersécurité",136
M1806,RNCP39907,"Ingénieur spécialisé en sécurité pour les systèmes informatiques et les communications, diplômé d'EURECOM",136
M1806,RNCP42467,"Expert en sécurité, stratégie et conformité blockchain",136
M1501,RNCP35387,Gestion administrative et commerciale des organisations : Management des fonctions supports,4
M1806,RNCP37843,Directeur de la donnée (chief data officer),136
M1806,RNCP40203,Ingénieur diplômé de l'école nationale supérieure de cognitique de l’institut polytechnique de Bordeaux,136
M1806,RNCP42260,Diplôme d’études supérieures en tech et management (TEMA),136
H2502,RNCP38328,"Ingénieur diplômé de l’Institut national d’enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l’environnement",2
H2502,RNCP40777,Ingénieur diplômé de l'École nationale d'ingénieurs de Metz de l’université de Lorraine,2
M1805,RNCP37485,"Ingénieur diplômé de l'Université de technologie de Troyes, spécialité Informatique et Systèmes d'Information",14
M1805,RNCP41813,Chef de projet data et intelligence artificielle,14
M1805,RNCP42203,Product builder no code,14
M1806,RNCP40531,Ingénieur Diplômé de l'Ecole Pour l'Informatique et les Techniques Avancées,136
M1806,RNCP42204,Responsable green IT,136
H1206,RNCP39137,Titre ingénieur – Ingénieur diplômé de l’Ecole Supérieure d’Electronique de l’Ouest,9
H1206,RNCP40777,Ingénieur diplômé de l'École nationale d'ingénieurs de Metz de l’université de Lorraine,9
H1206,RNCP40813,Ingénieur diplômé de l'IG2I de Centrale Lille Institut,9
H1206,RNCP41147,"Ingénieur diplômé de l’institut national des sciences appliquées de Rouen, spécialité Mathématiques appliquées",9
H1206,RNCP41913,Ingénieur diplômé de l'Ecole Nationale Supérieure des Mines de Nancy de l'Université de Lorraine,9
M1801,RNCP42224,"Ingénieur diplômé de l’école polytechnique universitaire de l'université d'Angers, spécialité automatique et informatique",5
M1806,RNCP42163,Responsable green IT,136
H1206,RNCP35788,"ingénieur diplômé de l’Ecole supérieure d’ingénieurs en agroalimentaire de Bretagne atlantique de Bretagne INP, spécialité microbiologie et sécurité sanitaire",9
H1206,RNCP39552,"Ingénieur diplômé du Conservatoire national des arts et métiers, spécialité Systèmes électroniques",9
H1206,RNCP40766,"Ingénieur spécialisé en Energie et procédés, diplômé de l'Ecole nationale supérieure du pétrole et des moteurs",9
H1206,RNCP40560,Responsable en transition écologique (MS),9
M1806,RNCP35887,"Ingénieur diplômé de l'Ecole nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire de l'Institut Mines-Télécom, spécialité Génie industriel",136
M1806,RNCP41058,Diplôme d'études supérieures spécialisées en stratégie marketing et commerciale,136
I1401,RNCP42463,Technicien supérieur systèmes et réseaux ,1
M1806,RNCP37985,Expert en ingénierie logicielle,136
M1801,RNCP40745,Sciences et ingénierie - Cybersécurité et réseaux,5
M1801,RNCP41614,Réseaux & télécommunications : Pilotage de projets de réseaux,5
M1805,RNCP35568,"Ingénieur diplômé de l'École supérieure angevine d'informatique et de productique, spécialité informatique et réseaux",14
M1805,RNCP41129,Expert en ingénierie des systèmes d'information,14
M1805,RNCP41312,Concepteur développeur de solutions blockchain ,14
M1805,RNCP41847,"Responsable d’ingénierie des systèmes numériques, option « analyste et développement », option « systèmes et réseaux », option « télécommunications »",14
M1806,RNCP39388,Responsable green IT,136
M1806,RNCP40572,Architecte Internet des objets (IoT),136
M1806,RNCP37673,"Ingénieur diplômé de l'Université de technologie de Troyes, spécialité Systèmes Numériques",136
M1806,RNCP38087,"Ingénieur diplômé de l'université de technologie de Troyes,  spécialité Réseaux et Télécommunications",136
M1801,RNCP40102,Métiers de l'informatique : administration et sécurité des systèmes et des réseaux (fiche nationale),5
M1806,RNCP37880,"Ingénieur diplômé de l’Ecole Polytechnique Universitaire de l’Institut polytechnique de Grenoble (UGA), spécialité Technologies de l’information pour la santé",136
M1806,RNCP39851,"Administrateur systèmes, réseaux et sécurité",136
M1806,RNCP40573,Expert en informatique et systèmes d’information,136
M1806,RNCP41772,Expert en transformation digitale et optimisation des systèmes industriels (MSc CGE),136
M1806,RNCP42008,"Ingénieur diplômé de l’École polytechnique universitaire de Montpellier, spécialité Informatique ",136
M1806,RNCP42198,Responsable green IT,136
M1806,RNCP42325,Manager de projets en informatique et systèmes d'information (MS),136
M1802,RNCP35704,"Ingénieur diplômé de l’école polytechnique universitaire de l'université d'Angers, spécialité génie industriel",6
M1802,RNCP41976,Expert en cybersécurité et sécurité informatique,6
M1805,RNCP37586,"Ingénieur diplômé de l'Ecole nationale supérieure d'électronique, informatique, télécommunications, mathématique et mécanique de Bordeaux de l'Institut polytechnique de Bordeaux, spécialité Informatique",14
M1806,RNCP39490,Méthodes informatiques appliquées à la gestion des entreprises - MIAGE (fiche nationale),136
M1806,RNCP39998,Spécialiste en maîtrise d’ouvrage des SI,136
M1806,RNCP40972,"Ingénieur diplômé de l'Institut national des sciences appliquées de Lyon, spécialité Télécommunications",136
M1806,RNCP42546,"Ingénieur diplômé de l'École Supérieure de Chimie, Physique, Électronique de Lyon, spécialité informatique et réseaux",136
H1402,RNCP38858," Ingénieur diplômé de l’école polytechnique universitaire de Savoie de l'université de Chambéry, spécialité mécanique",1
M1806,RNCP36864,Manager de la stratégie et de la transformation digitale (MS),136
M1806,RNCP41586,Informatique : Déploiement d'applications communicantes et sécurisées,136
M1806,RNCP38905,Manager de projets informatiques,136
