numero_fiche,intitule_certification,nombre_offres,codes_rome_distincts,methode_correspondance,niveau_confiance
RNCP39592,Manager de la communication et du marketing digital,5,1,correspondance_officielle_france_competences,officiel
RNCP40046,Intelligence Artificielle appliquée aux enjeux sociétaux,21,4,correspondance_officielle_france_competences,officiel
RNCP35378,Gestion des entreprises et des administrations : contrôle de gestion et pilotage de la performance,138,2,correspondance_officielle_france_competences,officiel
RNCP36297,Expert en transformation des systèmes d’information et du numérique,151,3,correspondance_officielle_france_competences,officiel
RNCP37473,Sciences et Ingénierie - Cybersécurité,161,4,correspondance_officielle_france_competences,officiel
RNCP38434,Spécialiste en cybersécurité (MS),167,5,correspondance_officielle_france_competences,officiel
RNCP38585,Délégué à la protection des données (MS),142,2,correspondance_officielle_france_competences,officiel
RNCP39445,Ingénieur diplômé de l'Institut supérieur d'électronique de Paris,162,4,correspondance_officielle_france_competences,officiel
RNCP39746,Manager en ingénierie numérique de produits et de bâtiments (MS),146,3,correspondance_officielle_france_competences,officiel
RNCP39907,"Ingénieur spécialisé en sécurité pour les systèmes informatiques et les communications, diplômé d'EURECOM",157,4,correspondance_officielle_france_competences,officiel
RNCP39978,Architecte des systèmes d’information dans les processus industriels,162,5,correspondance_officielle_france_competences,officiel
RNCP39998,Spécialiste en maîtrise d’ouvrage des SI,162,5,correspondance_officielle_france_competences,officiel
RNCP40347,Architecte cybersécurité et internet des objets (MS),167,5,correspondance_officielle_france_competences,officiel
RNCP40534,"Ingénieur diplômé de l'École Supérieure de Chimie, Physique, Électronique de Lyon, spécialité informatique et réseaux",162,4,correspondance_officielle_france_competences,officiel
RNCP40614,Ingénieur diplôme de l'ECAM Rennes Louis de Broglie spécialité Systèmes numériques,165,4,correspondance_officielle_france_competences,officiel
RNCP40658,Architecte des systèmes d'information dans les processus industriels,154,5,correspondance_officielle_france_competences,officiel
RNCP40730,Ingénieur diplômé de l’Ecole Centrale de Lille de Centrale Lille Institut,147,3,correspondance_officielle_france_competences,officiel
RNCP40776,"Ingénieur diplômé de l'école polytechnique universitaire de Nantes Université, spécialité Informatique",157,4,correspondance_officielle_france_competences,officiel
RNCP40952,"Ingénieur diplômé de l'Ecole Polytechnique universitaire de l'Université Paris-Saclay, spécialité Informatique",162,4,correspondance_officielle_france_competences,officiel
RNCP40957,"Ingénieur diplômé de Télécom Saint-Etienne de l'Université de Saint-Etienne, spécialité informatique et électronique",165,4,correspondance_officielle_france_competences,officiel
RNCP40972,"Ingénieur diplômé de l'Institut national des sciences appliquées de Lyon, spécialité Télécommunications",161,4,correspondance_officielle_france_competences,officiel
RNCP41004,"Sciences et ingénierie, Sciences du management - Technologie et Management",151,3,correspondance_officielle_france_competences,officiel
RNCP41208,Ingénieur diplômé de l’Ecole nationale des sciences géographiques,157,4,correspondance_officielle_france_competences,officiel
