competence_code,competence_libelle_rome,nombre_offres,codes_rome_distincts
508618,Développer des modèles prédictifs pour l'analyse de données,32,2
478668,Développement front-end et back-end,2,2
113277,Méthode AGILE,3,2
105775,"Vérifier le montage et le câblage (valeur des composants, continuité électrique, etc.)",1,1
400184,Gérer et déployer des logiciels à distance,6,4
486983,Surveiller les tendances du marché du cloud,1,1
485420,Assurer la maintenance préventive de premier niveau des équipements,1,1
300180,"Contrôler la conformité d'un équipement, d'une machine, d'une installation",3,3
300080,"Procéder à des tests, expérimentations",1,1
484485,Configurer et optimiser des systèmes DevOps,53,1
505243,Analyser les besoins des utilisateurs pour la conception de systèmes,6,1
115531,"Sélectionner, assembler et intégrer des composants informatiques (progiciels, bases de données, développements spécifiques, ...)",3,1
300688,Application web,33,5
116942,Réaliser un audit,2,1
300495,Evaluer le résultat de ses actions,5,2
484635,Assurer la conformité des livrables de projet,1,1
300268,Conditionner des produits,1,1
300458,"Structurer, synthétiser des informations",7,4
300200,Exploiter des solutions de Data Science ou d'Intelligence Artificielle,8,4
404330,Piloter des opérations de tests informatiques,3,1
400320,Piloter le déploiement et l'intégration d'outils d'optimisation au sein des processus métiers,1,1
404081,BTS services informatiques aux organisations option B : solutions logicielles et applications métiers,1,1
486790,Optimiser l'utilisation des ressources informatiques,2,1
486975,Assurer la conformité réglementaire des solutions cloud,1,1
300406,Ecrire une ou plusieurs langues étrangères,1,1
482278,Sensibiliser les équipes aux enjeux de la Responsabilité Sociétale et Environnementale (RSE),1,1
124842,Contrôler des données qualité,2,1
403448,Communiquer efficacement avec l'équipe et les clients,2,1
491983,Analyse de données programmatiques,2,1
100286,Techniques de soudure,1,1
113330,"Superviser, coordonner les réalisations ou développements informatiques (collaborateurs, sous-traitants)",2,2
491512,Licence pro mention métiers de l'informatique : applications web,1,1
479269,Gestion des risques informatiques,1,1
300149,"Evaluer, prévenir, et gérer les risques et la sécurité",1,1
117019,Méthodes et procédures de contrôle comptable,1,1
300022,"Enseigner, développer des compétences",1,1
506481,Concevoir des architectures de solutions cloud,1,1
108375,Méthode de Gestion Prévisionnelle des Emplois et des Compétences (GPEC),1,1
484474,Documenter les procédures techniques et les configurations,1,1
479267,Optimisation de la performance des systèmes,2,1
300182,"Réparer un équipement, une machine, une installation",1,1
105771,Vérifier les composants et les disposer en fonction du déroulement des opérations de montage,1,1
300398,Optimiser la performance de l'organisation,1,1
403788,Mobiliser une vision stratégique et d'anticipation,1,1
489513,Gérer les stocks de matériel de maintenance et de pièces de rechange,1,1
403361,Surveiller les tendances du marché digital,1,1
109529,Communiquer les résultats des études aux parties prenantes,42,2
487086,Développer des algorithmes pour l'analyse de données,3,1
504174,Intégrer de nouvelles technologies éducatives dans l'enseignement,1,1
500668,Gérer la documentation technique et les archives de projets,1,1
300462,Rendre compte de son activité,4,3
485121,Maintenir à jour la documentation technique et les manuels d'utilisation,2,1
499611,Superviser les opérations de migration de données,1,1
