code_region,region,nombre_offres,offres_alternance,codes_rome_distincts
11.0,Ile-de-France,458,50,68
,,33,0,13
2.0,Martinique,4,0,2
28.0,Normandie,14,2,9
4.0,La Réunion,10,2,4
84.0,Auvergne-Rhône-Alpes,126,9,28
76.0,Occitanie,61,4,30
27.0,Bourgogne-Franche-Comté,14,1,7
75.0,Nouvelle-Aquitaine,68,6,22
52.0,Pays de la Loire,52,3,17
44.0,Grand Est,55,1,21
93.0,Provence-Alpes-Côte d'Azur,53,2,20
53.0,Bretagne,27,0,16
24.0,Centre-Val de Loire,15,1,8
32.0,Hauts-de-France,52,1,14
94.0,Corse,1,0,1
3.0,Guyane,4,0,2
