rome_code,rome_libelle,nombre_offres,offres_alternance,offres_mappees_certification,offres_sans_mapping,certifications_distinctes,niveau_confiance,couverture_certifications_pct
H1206,Ingénieur / Ingénieure R&D en industrie,9,0,9,0,779,officiel,100.0
D1410,Attaché commercial / Attachée commerciale,4,4,0,4,0,a_valider,0.0
H1402,Ingénieur / Ingénieure méthodes et process,1,0,1,0,329,officiel,100.0
M1853,Chef / Cheffe de projet étude et développement informatique,3,1,0,3,0,a_valider,0.0
M1717,Responsable innovation,1,0,0,1,0,a_valider,0.0
M1803,Directeur / Directrice des systèmes d'information (DSI),1,0,1,0,178,officiel,100.0
H2903,Usineur / Usineuse,1,0,1,0,17,officiel,100.0
C1105,Actuaire en assurances,1,0,1,0,8,officiel,100.0
M1806,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information,136,3,136,0,273,officiel,100.0
M1429,Consultant / Consultante en management,1,0,0,1,0,a_valider,0.0
M1430,Chargé / Chargée d'études commerciales,3,0,0,3,0,a_valider,0.0
M1831,Développeur / Développeuse - jeux vidéo,1,0,0,1,0,a_valider,0.0
M1884,"Ingénieur / Ingénieure systèmes, réseaux et sécurité informatique",1,0,0,1,0,a_valider,0.0
M1201,Analyste financier / Analyste financière,7,0,7,0,93,officiel,100.0
M1867,Responsable des systèmes d'information (SI),2,0,0,2,0,a_valider,0.0
C1102,Conseiller commercial / Conseillère commerciale et relation client en assurances,1,0,1,0,29,officiel,100.0
M1814,Scrum Master,1,0,0,1,0,a_valider,0.0
F1101,Architecte du bâtiment,1,0,1,0,24,officiel,100.0
I1306,Frigoriste,1,0,1,0,35,officiel,100.0
M1878,Responsable de la production informatique,1,0,0,1,0,a_valider,0.0
J1304,Auxiliaire de puériculture,1,0,1,0,1,officiel,100.0
K2202,Laveur / Laveuse de vitres,1,0,1,0,4,officiel,100.0
M1889,Ingénieur / Ingénieure en Intelligence Artificielle (IA),100,16,0,100,0,a_valider,0.0
M1896,Analyste cycle de vie dans les télécoms,3,0,0,3,0,a_valider,0.0
M1811,Data engineer,168,9,0,168,0,a_valider,0.0
M1204,Contrôleur / Contrôleuse de gestion,2,0,2,0,85,officiel,100.0
M1501,Assistant / Assistante Ressources Humaines (RH),4,3,4,0,47,officiel,100.0
K1703,Responsable de l'emploi des forces armées,1,0,1,0,12,officiel,100.0
M1228,Gestionnaire de risques financiers,1,0,0,1,0,a_valider,0.0
K2413,Chercheur / Chercheuse des écosystèmes,1,0,0,1,0,a_valider,0.0
M1435,Chargé de tracking vérificateur / Chargée de tracking vérificatrice,3,0,0,3,0,a_valider,0.0
E1405,Référenceur / Référenceuse web,2,0,0,2,0,a_valider,0.0
H1101,Ingénieur / Ingénieure support technique,1,0,1,0,59,officiel,100.0
G1211,Analyste de la performance sportive,5,0,0,5,0,a_valider,0.0
L1505,Opérateur / Opératrice de prise de vues,2,1,2,0,35,officiel,100.0
M1810,Technicien / Technicienne d'exploitation informatique,6,0,6,0,115,officiel,100.0
H1406,Ingénieur / Ingénieure supply chain en industrie,3,0,0,3,0,a_valider,0.0
M1881,Chef / Cheffe de projet Maîtrise d'Ouvrage des Systèmes d'Information (MOA),2,0,0,2,0,a_valider,0.0
M1864,Product Owner,4,0,0,4,0,a_valider,0.0
C1209,Spécialiste de la vérification client,1,0,0,1,0,a_valider,0.0
I1310,Mécanicien / Mécanicienne de maintenance industrielle,1,0,1,0,41,officiel,100.0
K2111,Formateur / Formatrice,3,0,3,0,59,officiel,100.0
M1702,Planneur / Planneuse stratégique,5,0,5,0,23,officiel,100.0
