territoire_offre,nombre_offres
75 - Paris,71
92 - Bois-Colombes,3
75 - Paris 14e Arrondissement,1
75 - Paris 7e Arrondissement,3
95 - Val-d'Oise,9
67 - Nordheim,4
75 - Paris 9e Arrondissement,26
84 - Avignon,1
92 - Colombes,1
91 - Villebon-sur-Yvette,1
75 - PARIS 08,1
94 - Ivry-sur-Seine,1
78 - Versailles,2
40 - Tarnos,4
38 - Grenoble,8
91 - EVRY COURCOURONNES,1
59 - Lesquin,1
93 - LE BOURGET,1
92 - Issy-les-Moulineaux,4
93 - Bobigny,1
45 - ORLEANS,2
69 - Lyon 2e Arrondissement,1
86 - CHASSENEUIL DU POITOU,1
75 - Paris 8e Arrondissement,4
67 - STRASBOURG,3
91 - Vert-le-Grand,1
69 - Lyon 8e Arrondissement,2
77 - REAU,1
06 - Nice,3
75 - Paris 15e Arrondissement,3
Ile-de-France,1
78 - ELANCOURT,1
53 - Renazé,1
13 - AIX EN PROVENCE,2
974 - Saint-Philippe,1
35 - Domagné,1
64 - Bordes,2
76 - EU,1
38 - Montbonnot-Saint-Martin,1
67 - Benfeld,1
69 - Lyon 9e Arrondissement,2
69 - Rillieux-la-Pape,1
09 - PAMIERS,1
31 - MARTRES TOLOSANE,1
67 - BISCHHEIM,1
92 - MONTROUGE,1
973 - Saint-Laurent-du-Maroni,1
06 - Cannes,1
64 - Anglet,3
79 - Deux-Sèvres,1
Luxembourg,19
69 - LYON,5
67 - Bitschhoffen,1
59 - Marcq-en-Barœul,3
38 - Meylan,4
59 - MARCQ EN BAROEUL,3
78 - Magny-les-Hameaux,2
63 - Ambert,1
94 - FONTENAY-SOUS-BOIS,5
83 - Toulon,3
06 - NICE,1
91 - Gif-sur-Yvette,2
75 - Paris 1er Arrondissement,15
75 - PARIS 01,1
66 - Boulou,1
33 - MERIGNAC,4
01 - Valserhône,5
69 - Échalas,1
53 - Château-Gontier-sur-Mayenne,1
29 - Brest,2
Île-de-France,11
67 - ILLKIRCH-GRAFFENSTADEN,1
06 - VALBONNE,6
68 - COLMAR,1
92 - MALAKOFF,2
33 - CESTAS,1
37 - ST PIERRE DES CORPS,1
92 - Suresnes,2
69 - Civrieux-d'Azergues,1
78 - JOUY EN JOSAS,3
972 - FORT DE FRANCE,2
64 - Boucau,1
11 - Montolieu,1
93 - MONTREUIL,1
34 - Usclas-d'Hérault,1
75 - Paris 13e Arrondissement,3
88 - Vosges,1
40 - Mont-de-Marsan,1
76 - Eu,1
69 - LIMONEST,1
49 - Candé,1
76 - Harfleur,1
974 - Saint-Benoît,1
13 - Vitrolles,1
92 - Nanterre,33
33 - Bordeaux,13
94 - Orly,1
69 - Lyon 4e Arrondissement,3
13 - Gémenos,3
69 - Chaponnay,3
31 - TOULOUSE,4
59 - Croix,2
69 - Lyon 1er Arrondissement,21
92 - Bagneux,4
France,14
92 - Hauts-de-Seine,21
67 - Strasbourg,6
69 - Rhône,3
21 - Dijon,2
78 - Prunay-en-Yvelines,2
34 - Montpellier,9
29 - Finistère,3
92 - NEUILLY SUR SEINE,5
53 - LAVAL,2
68 - BARTENHEIM,2
59 - Dunkerque,1
69 - LYON 02,1
93 - Drancy,1
75 - Paris 12e Arrondissement,5
92 - ISSY LES MOULINEAUX,1
78 - Plaisir,1
77 - CHAMPS-SUR-MARNE,1
93 - SAINT-OUEN-SUR-SEINE,1
77 - Moissy-Cramayel,1
974 - Saint-Denis,3
31 - Colomiers,1
13 - Ciotat,1
94 - Villejuif,1
49 - Cholet,2
01 - Saint-Martin-du-Frêne,1
51 - MONTMIRAIL,1
93 - Saint-Ouen-sur-Seine,2
972 - Fort-de-France,1
69 - Caluire-et-Cuire,1
06 - Menton,1
94 - IVRY SUR SEINE,1
31 - Ramonville-Saint-Agne,2
69 - VILLEURBANNE,9
87 - Limoges,3
10 - NOGENT SUR SEINE,3
69 - Lyon 5e Arrondissement,7
972 - Schœlcher,1
78 - Vélizy-Villacoublay,4
973 - Camopi,1
13 - MARSEILLE 07,1
92 - Levallois-Perret,10
59 - TEMPLEMARS,2
38 - Échirolles,1
31 - Toulouse,26
59 - Mons-en-Barœul,1
72 - COULAINES,1
91 - MASSY,1
78 - VERSAILLES,1
92 - ISSY-LES-MOULINEAUX,1
75 - Paris 2e Arrondissement,6
59 - VILLENEUVE D ASCQ,2
51 - Reims,2
64 - Pau,2
93 - Courneuve,1
31 - Balma,1
06 - BIOT,5
33 - Gironde,1
06 - CAGNES SUR MER,1
45 - Beaune-la-Rolande,2
10 - Nogent-sur-Seine,1
06 - MOUANS SARTOUX,1
29 - Guipavas,1
92 - LEVALLOIS PERRET,2
91 - Ulis,2
92 - Plessis-Robinson,1
13 - MARSEILLE 09,1
92 - Rueil-Malmaison,1
94 - Saint-Mandé,1
12 - Toulonjac,1
78 - Guyancourt,2
55 - MARVILLE,1
78 - Châteaufort,1
78 - Mureaux,1
59 - LOOS,1
79 - NIORT,1
75 - Paris 16e Arrondissement,2
92 - PUTEAUX,4
08 - Girondelle,4
45 - Orléans,3
69 - LYON 09,1
92 - Courbevoie,17
35 - RENNES,1
93 - Saint-Denis,5
92 - COLOMBES,1
94 - MAISONS-ALFORT,1
57 - Ay-sur-Moselle,2
90 - Belfort,1
42 - Saint-Étienne,1
78 - HOUILLES,1
64 - PAU,4
56 - Lorient,2
54 - VANDOEUVRE LES NANCY,1
10 - Troyes,1
29 - Relecq-Kerhuon,1
59 - Lezennes,5
67 - Schiltigheim,1
25 - MISEREY-SALINES,1
36 - Issoudun,1
87 - LE DORAT,1
63 - Clermont-Ferrand,4
72 - Mans,1
66 - Perpignan,1
33 - Pessac,2
75 - Paris 6e Arrondissement,1
74 - Annecy,1
93 - Villepinte,2
57 - Vantoux,2
13 - Châteauneuf-les-Martigues,1
69 - VENISSIEUX,1
73 - Albertville,1
34 - MONTPELLIER,2
78 - Voisins-le-Bretonneux,1
92 - Meudon,2
2B - Bastia,1
77 - Savigny-le-Temple,1
23 - Boussac-Bourg,1
22 - Guingamp,1
69 - DARDILLY,1
67 - Herrlisheim,1
75 - Paris 5e Arrondissement,1
95 - Roissy-en-France,1
59 - SECLIN,1
63 - Chappes,1
973 - Cayenne,1
14 - COLOMBELLES,1
91 - EVRY,1
60 - CHANTILLY,1
Nouvelle-Aquitaine,1
13 - Aix-en-Provence,4
38 - GRENOBLE,4
75 - Paris 11e Arrondissement,3
91 - Corbeil-Essonnes,1
974 - Saint-Paul,1
21 - Aiserey,2
35 - Rennes,7
69 - Givors,1
37 - Tours,3
06 - Valbonne,1
92 - BOULOGNE BILLANCOURT,1
93 - Seine-Saint-Denis,5
06 - Gaude,1
59 - LILLE,4
91 - Longjumeau,1
18 - Bourges,1
93 - ST DENIS,3
42 - ST ETIENNE,1
85 - Roche-sur-Yon,1
25 - Montbéliard,1
75 - Paris (Dept.),4
86 - Chasseneuil-du-Poitou,2
09 - Pamiers,1
57 - Metz,1
32 - Auch,1
78 - MANTES LA JOLIE,1
94 - Rungis,1
72 - Sablé-sur-Sarthe,1
26 - Valence,1
75 - Paris 4e Arrondissement,1
67 - Bietlenheim,1
40 - LIPOSTHEY,1
86 - Poitiers,1
35 - Bruz,1
34 - Sète,1
76 - ROUEN,1
38 - ST EGREVE,1
51 - Sézanne,1
19 - Brive-la-Gaillarde,1
95 - BEZONS,1
67 - BENFELD,1
57 - METZ,1
67 - Sélestat,1
78 - Mantes-la-Jolie,1
34 - Béziers,1
35 - Cesson-Sévigné,2
39 - Châtillon,2
56 - Vannes,3
75 - PARIS,38
59 - Nord,2
94 - ARCUEIL,2
44 - PORNIC,1
59 - Lille,16
974 - LA POSSESSION,2
69 - Lyon,6
51 - REIMS,1
44 - Carquefou,3
13 - Marseille 8e Arrondissement,4
77 - Champs-sur-Marne,2
44 - Loire-Atlantique,5
66 - PERPIGNAN,1
92 - Neuilly-sur-Seine,2
80 - Oust-Marest,1
27 - Val-de-Reuil,2
50 - Sottevast,1
69 - Lyon 6e Arrondissement,3
79 - Niort,11
38 - DOMENE,1
71 - LE CREUSOT,1
02 - Saint-Quentin,1
64 - BAYONNE,1
92 - Gennevilliers,1
59 - Douai,1
57 - Thionville,1
26 - VALENCE,1
91 - Gometz-la-Ville,1
83 - LA SEYNE SUR MER,1
44 - NANTES,1
94 - Fontenay-sous-Bois,1
94 - Vitry-sur-Seine,1
95 - NEUVILLE SUR OISE,1
04 - CHATEAU ARNOUX ST AUBAN,1
92 - SEVRES,1
45 - Olivet,1
35 - ST GREGOIRE,1
91 - Gometz-le-Châtel,1
38 - Fontanil-Cornillon,1
47 - AGEN,1
92 - NANTERRE,1
974 - Saint-Joseph,1
29 - BREST,1
44 - Saint-Sébastien-sur-Loire,1
25 - Besançon,3
44 - Nantes,23
75 - Paris 19e Arrondissement,1
92 - Puteaux,9
59 - Villeneuve-d'Ascq,4
25 - BESANCON,1
78 - GUYANCOURT,3
67 - BERNOLSHEIM,2
10 - Saint-André-les-Vergers,2
78 - Flins-sur-Seine,1
92 - Boulogne-Billancourt,8
69 - Lyon 3e Arrondissement,3
13 - Marseille 2e Arrondissement,2
13 - LA CIOTAT,1
34 - Mauguio,1
92 - Montrouge,4
81 - Parisot,3
75 - Paris 10e Arrondissement,2
76 - ST ETIENNE DU ROUVRAY,1
91 - Palaiseau,1
93 - Noisy-le-Grand,1
69 - Lyon 7e Arrondissement,5
75 - Paris 20e Arrondissement,1
42 - MACLAS,1
76 - Rouen,5
49 - SAUMUR,1
44 - Chapelle-sur-Erdre,1
33 - Mérignac,3
57 - LA MAXE,1
28 - TOURY,1
Provence-Alpes-Côte d'Azur,1
973 - Ouanary,1
38 - Isère,2
49 - Angers,5
75 - PARIS 03,1
06 - Carros,1
78 - Poissy,1
95 - Bezons,1
13 - La Ciotat,1
93 - Montreuil,1
974 - Cilaos,1
06 - Antibes,1
69 - MIONS,1
92 - Saint-Cloud,1
92 - Clichy,4
13 - Marseille 1er Arrondissement,1
67 - SCHILTIGHEIM,1
93 - Pantin,1
