date_collecte,type_dimension,valeur_dimension,nombre_offres
2026-08-14,Contrat,CDI,366
2026-08-15,Contrat,CCE,2
2026-08-14,Contrat,LIB,5
2026-08-31,Contrat,LIB,7
2026-08-31,Contrat,DIN,1
2026-08-15,Contrat,CDI,86
2026-08-31,Contrat,CDI,541
2026-08-14,Contrat,MIS,21
2026-08-31,Contrat,CDD,91
2026-08-15,Contrat,CDD,6
2026-08-31,Contrat,DDI,2
2026-08-14,Contrat,CDD,81
2026-08-31,Contrat,MIS,40
2026-08-15,Contrat,MIS,6
2026-08-14,Region (derniere connue),Occitanie,25
2026-08-15,Region (derniere connue),Nouvelle-Aquitaine,10
2026-08-31,Region (derniere connue),Grand Est,38
2026-08-31,Region (derniere connue),Nouvelle-Aquitaine,42
2026-08-15,Region (derniere connue),Grand Est,1
2026-08-14,Region (derniere connue),Grand Est,31
2026-08-14,Region (derniere connue),Nouvelle-Aquitaine,28
2026-08-31,Region (derniere connue),Occitanie,45
2026-08-15,Region (derniere connue),Occitanie,2
2026-08-14,Region (derniere connue),Provence-Alpes-Côte d'Azur,35
2026-08-14,Region (derniere connue),Bourgogne-Franche-Comté,7
2026-08-15,Region (derniere connue),Ile-de-France,50
2026-08-15,Region (derniere connue),Auvergne-Rhône-Alpes,18
2026-08-15,Region (derniere connue),Bretagne,3
2026-08-31,Region (derniere connue),Auvergne-Rhône-Alpes,74
2026-08-31,Region (derniere connue),Ile-de-France,293
2026-08-31,Region (derniere connue),Bretagne,14
2026-08-15,Region (derniere connue),Hauts-de-France,3
2026-08-31,Region (derniere connue),Hauts-de-France,38
2026-08-14,Region (derniere connue),Corse,1
2026-08-14,Region (derniere connue),Centre-Val de Loire,8
2026-08-31,Region (derniere connue),La Réunion,9
2026-08-14,Region (derniere connue),Normandie,5
2026-08-14,Region (derniere connue),Non renseignee,12
2026-08-14,Region (derniere connue),Pays de la Loire,20
2026-08-31,Region (derniere connue),Martinique,3
2026-08-15,Region (derniere connue),Normandie,3
2026-08-31,Region (derniere connue),Normandie,7
2026-08-31,Region (derniere connue),Centre-Val de Loire,9
2026-08-31,Region (derniere connue),Non renseignee,24
2026-08-31,Region (derniere connue),Guyane,4
2026-08-15,Region (derniere connue),Centre-Val de Loire,2
2026-08-14,Region (derniere connue),La Réunion,2
2026-08-31,Region (derniere connue),Pays de la Loire,34
2026-08-14,Region (derniere connue),Martinique,2
2026-08-15,Region (derniere connue),Pays de la Loire,6
2026-08-14,Region (derniere connue),Ile-de-France,211
2026-08-14,Region (derniere connue),Auvergne-Rhône-Alpes,55
