id,date_premiere_observation,date_derniere_observation,statut_observation,duree_observation_jours,duree_publication_observee_jours,rome_code,rome_libelle,type_contrat,alternance,region_derniere_connue,mot_cle_collecte
203KFZL,2026-08-14 18:41:06+02,2026-08-31 21:32:20+02,Disparue,17,213,M1419,Data analyst,CDI,False,Auvergne-Rhône-Alpes,data analyst
8813032,2026-08-14 18:45:51+02,2026-08-14 18:45:51+02,Disparue,0,189,M1889,Ingénieur / Ingénieure en Intelligence Artificielle (IA),MIS,False,Ile-de-France,machine learning
8813533,2026-08-14 18:41:07+02,2026-08-14 18:41:07+02,Disparue,0,189,M1405,Data scientist,MIS,False,Auvergne-Rhône-Alpes,data scientist
8813627,2026-08-14 18:45:52+02,2026-08-14 18:45:52+02,Disparue,0,189,M1896,Analyste cycle de vie dans les télécoms,MIS,False,Ile-de-France,ml
9329595,2026-08-14 18:41:07+02,2026-08-14 18:41:07+02,Disparue,0,175,M1405,Data scientist,CDI,False,Nouvelle-Aquitaine,data scientist
9832165,2026-08-31 21:32:25+02,2026-08-31 21:32:25+02,Disparue,0,180,M1702,Planneur / Planneuse stratégique,CDI,False,Ile-de-France,data engineer senior
9850911,2026-08-31 21:32:25+02,2026-08-31 21:32:25+02,Disparue,0,180,M1811,Data engineer,CDI,False,Ile-de-France,data engineer senior
0811342,2026-08-14 18:45:54+02,2026-08-31 21:32:27+02,Disparue,17,157,M1889,Ingénieur / Ingénieure en Intelligence Artificielle (IA),MIS,False,Pays de la Loire,mlops engineer
0962836,2026-08-14 18:41:07+02,2026-08-14 18:41:07+02,Disparue,0,136,M1405,Data scientist,CDD,True,Ile-de-France,data scientist
206MMXC,2026-08-14 18:41:08+02,2026-08-31 21:32:21+02,Disparue,17,147,M1811,Data engineer,CDI,False,Grand Est,data engineer
206MVGZ,2026-08-15 00:53:20+02,2026-08-15 00:53:20+02,Disparue,0,130,M1806,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information,CDI,False,Auvergne-Rhône-Alpes,business analyst
206RHRP,2026-08-14 18:41:08+02,2026-08-31 21:32:21+02,Disparue,17,144,M1811,Data engineer,CDI,False,Auvergne-Rhône-Alpes,data engineer
1458668,2026-08-14 18:45:51+02,2026-08-31 21:32:28+02,Disparue,17,138,M1889,Ingénieur / Ingénieure en Intelligence Artificielle (IA),CDD,True,Ile-de-France,developpeur ia
1474166,2026-08-31 21:32:25+02,2026-08-31 21:32:25+02,Disparue,0,138,M1811,Data engineer,MIS,False,Ile-de-France,data engineer senior
206ZGTB,2026-08-14 18:41:08+02,2026-08-14 18:41:08+02,Disparue,0,121,M1811,Data engineer,CDI,False,Occitanie,data engineer
1567497,2026-08-31 21:32:28+02,2026-08-31 21:32:28+02,Disparue,0,137,M1889,Ingénieur / Ingénieure en Intelligence Artificielle (IA),CDI,False,Non renseignee,developpeur ia
1763224,2026-08-31 21:32:28+02,2026-08-31 21:32:28+02,Disparue,0,131,M1889,Ingénieur / Ingénieure en Intelligence Artificielle (IA),MIS,False,Ile-de-France,developpeur ia
1852694,2026-08-14 18:41:07+02,2026-08-31 21:32:21+02,Disparue,17,130,K2402,Ingénieur / Ingénieure de recherche scientifique,CDI,False,Occitanie,data scientist
1917828,2026-08-31 21:32:21+02,2026-08-31 21:32:21+02,Disparue,0,128,M1405,Data scientist,CDI,False,Ile-de-France,data scientist
1918184,2026-08-14 18:41:07+02,2026-08-31 21:32:21+02,Disparue,17,128,M1405,Data scientist,CDI,False,Ile-de-France,data scientist
1918195,2026-08-31 21:32:21+02,2026-08-31 21:32:21+02,Disparue,0,128,M1405,Data scientist,CDI,False,Ile-de-France,data scientist
1918201,2026-08-14 18:41:07+02,2026-08-31 21:32:21+02,Disparue,17,128,M1405,Data scientist,CDI,False,Ile-de-France,data scientist
1918204,2026-08-31 21:32:21+02,2026-08-31 21:32:21+02,Disparue,0,128,M1405,Data scientist,CDI,False,Ile-de-France,data scientist
1918344,2026-08-31 21:32:21+02,2026-08-31 21:32:21+02,Disparue,0,128,M1405,Data scientist,CDI,False,Ile-de-France,data scientist
2042756,2026-08-31 21:32:28+02,2026-08-31 21:32:28+02,Disparue,0,125,M1889,Ingénieur / Ingénieure en Intelligence Artificielle (IA),CDI,False,Grand Est,developpeur ia
2056685,2026-08-31 21:32:21+02,2026-08-31 21:32:21+02,Disparue,0,124,M1405,Data scientist,CDI,False,Ile-de-France,data scientist
2119466,2026-08-31 21:32:25+02,2026-08-31 21:32:25+02,Disparue,0,123,M1811,Data engineer,CDI,False,Bretagne,data engineer senior
2297118,2026-08-31 21:32:28+02,2026-08-31 21:32:28+02,Disparue,0,117,M1861,Développeur / Développeuse logiciel ou d'application,CDI,False,Bretagne,developpeur ia
2319548,2026-08-14 18:41:07+02,2026-08-31 21:32:26+02,Disparue,17,117,M1101,Acheteur / Acheteuse,CDI,False,Ile-de-France,data scientist senior
207XTTK,2026-08-31 21:32:28+02,2026-08-31 21:32:28+02,Disparue,0,117,M1889,Ingénieur / Ingénieure en Intelligence Artificielle (IA),CDD,True,Normandie,developpeur ia
2393226,2026-08-14 18:41:07+02,2026-08-31 21:32:21+02,Disparue,17,116,M1405,Data scientist,CDI,False,Ile-de-France,data scientist
2395866,2026-08-14 18:41:07+02,2026-08-31 21:32:21+02,Disparue,17,116,M1405,Data scientist,CDI,False,Ile-de-France,data scientist
208BNFF,2026-08-14 18:41:08+02,2026-08-31 21:32:21+02,Disparue,17,113,M1811,Data engineer,CDI,False,Provence-Alpes-Côte d'Azur,data engineer
208GHBL,2026-08-14 18:41:06+02,2026-08-31 21:32:25+02,Disparue,17,110,M1419,Data analyst,CDI,False,Ile-de-France,data analyst junior
208GWSK,2026-08-31 21:32:28+02,2026-08-31 21:32:28+02,Disparue,0,110,M1861,Développeur / Développeuse logiciel ou d'application,CDI,False,Auvergne-Rhône-Alpes,developpeur ia
2653953,2026-08-31 21:32:25+02,2026-08-31 21:32:25+02,Disparue,0,109,M1811,Data engineer,MIS,False,Hauts-de-France,data engineer senior
2654034,2026-08-31 21:32:25+02,2026-08-31 21:32:25+02,Disparue,0,109,M1811,Data engineer,MIS,False,Hauts-de-France,data engineer senior
2807212,2026-08-31 21:32:28+02,2026-08-31 21:32:28+02,Disparue,0,103,M1889,Ingénieur / Ingénieure en Intelligence Artificielle (IA),CDI,False,Occitanie,developpeur ia
2849107,2026-08-31 21:32:21+02,2026-08-31 21:32:21+02,Disparue,0,102,M1405,Data scientist,CDI,False,Pays de la Loire,data scientist
2860521,2026-08-14 18:41:07+02,2026-08-14 18:41:07+02,Disparue,0,85,M1811,Data engineer,CDI,False,Ile-de-France,data scientist
208XHQV,2026-08-14 18:45:53+02,2026-08-14 18:45:53+02,Disparue,0,78,M1827,Ingénieur / Ingénieure DevOps,CDI,False,Provence-Alpes-Côte d'Azur,devops
3144612,2026-08-14 18:45:51+02,2026-08-31 21:32:24+02,Disparue,17,95,M1889,Ingénieur / Ingénieure en Intelligence Artificielle (IA),MIS,False,Ile-de-France,mlops
3154825,2026-08-31 21:32:25+02,2026-08-31 21:32:25+02,Disparue,0,94,M1811,Data engineer,CDI,False,Ile-de-France,data engineer senior
208XSBK,2026-08-14 18:41:08+02,2026-08-31 21:32:21+02,Disparue,17,94,M1811,Data engineer,CDI,False,Auvergne-Rhône-Alpes,data engineer
3190315,2026-08-14 18:41:07+02,2026-08-14 18:41:07+02,Disparue,0,77,F1112,Ingénieur / Ingénieure calcul et structure,CDD,True,Occitanie,data scientist
209BDSM,2026-08-14 18:45:53+02,2026-08-14 18:45:53+02,Disparue,0,74,M1827,Ingénieur / Ingénieure DevOps,CDD,False,Grand Est,devops
209BQHR,2026-08-15 00:53:20+02,2026-08-31 21:32:30+02,Active,16,90,M1204,Contrôleur / Contrôleuse de gestion,CDD,False,Occitanie,business analyst
209CJFW,2026-08-14 18:41:06+02,2026-08-14 18:41:06+02,Disparue,0,73,M1419,Data analyst,CDD,True,Auvergne-Rhône-Alpes,data analyst
209FGJM,2026-08-14 18:45:51+02,2026-08-31 21:32:22+02,Disparue,17,89,D1106,Vendeur / Vendeuse en épicerie,CDD,True,Ile-de-France,machine learning
209FJBB,2026-08-14 18:45:53+02,2026-08-14 18:45:53+02,Disparue,0,72,M1827,Ingénieur / Ingénieure DevOps,CDI,False,Provence-Alpes-Côte d'Azur,devops
209HPND,2026-08-14 18:41:06+02,2026-08-31 21:32:20+02,Disparue,17,87,M1419,Data analyst,CDI,False,Centre-Val de Loire,data analyst
209HSQC,2026-08-14 18:41:06+02,2026-08-14 18:41:06+02,Disparue,0,70,M1419,Data analyst,CDD,False,Centre-Val de Loire,data analyst
209HVPX,2026-08-14 18:45:53+02,2026-08-31 21:32:23+02,Disparue,17,87,M1827,Ingénieur / Ingénieure DevOps,CDI,False,Bretagne,devops
209JNLV,2026-08-31 21:32:23+02,2026-08-31 21:32:23+02,Disparue,0,87,M1827,Ingénieur / Ingénieure DevOps,CDD,True,Occitanie,devops
3535364,2026-08-31 21:32:29+02,2026-08-31 21:32:29+02,Disparue,0,86,M1818,Ingénieur / Ingénieure d'étude informatique,CDI,False,Provence-Alpes-Côte d'Azur,genai
3535420,2026-08-31 21:32:28+02,2026-08-31 21:32:28+02,Disparue,0,86,M1889,Ingénieur / Ingénieure en Intelligence Artificielle (IA),CDI,False,Ile-de-France,developpeur ia
209LXCS,2026-08-14 18:45:53+02,2026-08-14 18:45:53+02,Disparue,0,66,M1827,Ingénieur / Ingénieure DevOps,CDI,False,Ile-de-France,devops
209MYZF,2026-08-14 18:41:07+02,2026-08-14 18:45:51+02,Disparue,0,66,M1405,Data scientist,CDI,False,Occitanie,machine learning
3617339,2026-08-31 21:32:21+02,2026-08-31 21:32:26+02,Disparue,0,82,M1405,Data scientist,CDI,False,Ile-de-France,data scientist senior
3617352,2026-08-31 21:32:21+02,2026-08-31 21:32:21+02,Disparue,0,82,M1405,Data scientist,CDI,False,Ile-de-France,data scientist
