rome_code,competence_code,competence_libelle_rome,nombre_offres_skill,rome_libelle,sortants_total,taux_moyen,nombre_offres_ft,offres_alternance,taux_offres_alternance,cluster_id,cluster_label,code_metier_bmo,nom_metier_bmo,niveau_confiance,bmo_projets_recrutement_annee_ref,bmo_projets_difficiles_annee_ref,bmo_projets_saisonniers_annee_ref,score_mixte_demande_skills,rank_skill_rome
K2205,104167,Caractéristiques des produits d'entretien,1,Agent / Agente de propreté de locaux,3620.0,1.25,1,0,0.0,1,cluster_equilibre_demande_offre,,,,,,,3620.0,1.0
K2205,126141,Baliser les zones glissantes,1,Agent / Agente de propreté de locaux,3620.0,1.25,1,0,0.0,1,cluster_equilibre_demande_offre,,,,,,,3620.0,1.0
K2205,300152,Préparer du matériel en prévision d'un travail,1,Agent / Agente de propreté de locaux,3620.0,1.25,1,0,0.0,1,cluster_equilibre_demande_offre,,,,,,,3620.0,1.0
K2205,300282,"Entretenir, nettoyer un espace, un lieu, un local",1,Agent / Agente de propreté de locaux,3620.0,1.25,1,0,0.0,1,cluster_equilibre_demande_offre,,,,,,,3620.0,1.0
D1106,300282,"Entretenir, nettoyer un espace, un lieu, un local",1,Vendeur / Vendeuse en épicerie,2350.0,1.0,1,1,100.0,1,cluster_equilibre_demande_offre,,,,,,,2350.0,1.0
D1106,300374,Présenter et valoriser un produit ou un service,1,Vendeur / Vendeuse en épicerie,2350.0,1.0,1,1,100.0,1,cluster_equilibre_demande_offre,,,,,,,2350.0,1.0
D1106,300375,"Organiser, aménager un espace de vente",1,Vendeur / Vendeuse en épicerie,2350.0,1.0,1,1,100.0,1,cluster_equilibre_demande_offre,,,,,,,2350.0,1.0
D1106,300181,"Entretenir un équipement, une machine, une installation",1,Vendeur / Vendeuse en épicerie,2350.0,1.0,1,1,100.0,1,cluster_equilibre_demande_offre,,,,,,,2350.0,1.0
M1855,109846,Concevoir une application web,6,Développeur / Développeuse web,1680.0,0.9166666666666666,8,0,0.0,1,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,10080.0,1.0
M1855,300688,Application web,6,Développeur / Développeuse web,1680.0,0.9166666666666666,8,0,0.0,1,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,10080.0,1.0
M1855,113798,Programmation en Python,1,Développeur / Développeuse web,1680.0,0.9166666666666666,8,0,0.0,1,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,1680.0,2.0
M1855,491242,Ingénieur diplômé de l'école nationale supérieure d'informatique pour l'industrie et l'entreprise spécialité informatique,1,Développeur / Développeuse web,1680.0,0.9166666666666666,8,0,0.0,1,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,1680.0,2.0
I1401,106840,Configurer le poste de travail aux besoins de l'utilisateur,1,Technicien / Technicienne de maintenance en informatique,720.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,720.0,1.0
I1401,300082,"Analyser, résoudre un problème courant ou complexe",1,Technicien / Technicienne de maintenance en informatique,720.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,720.0,1.0
H1206,300488,Concevoir et gérer un projet,6,Ingénieur / Ingénieure R&D en industrie,530.0,0.0,9,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,3180.0,1.0
H1206,124529,Déterminer des axes d'évolution technologiques,5,Ingénieur / Ingénieure R&D en industrie,530.0,0.0,9,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,2650.0,2.0
M1805,109846,Concevoir une application web,6,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,2940.0,1.0
M1805,300688,Application web,4,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,1960.0,2.0
M1805,400199,Analyser les besoins informatiques,3,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,1470.0,3.0
M1805,113798,Programmation en Python,2,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,980.0,4.0
M1805,484914,Collaborer avec les développeurs pour améliorer la qualité du logiciel,2,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,980.0,4.0
M1805,113317,Développer une application en lien avec une base de données,2,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,980.0,4.0
M1805,113281,Script Shell,2,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,980.0,4.0
M1805,485121,Maintenir à jour la documentation technique et les manuels d'utilisation,1,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,490.0,5.0
M1805,484119,Gérer les versions de logiciels et leurs mises à jour,1,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,490.0,5.0
M1805,300679,"Tester un logiciel, un système d'informations, une application",1,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,490.0,5.0
M1805,300641,Piloter les fonctionnalités des équipements et systèmes de sécurité informatique,1,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,490.0,5.0
M1805,126535,Réaliser des études et développements informatiques,1,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,490.0,5.0
M1805,404136,"Licence pro mention métiers de l'informatique : conception, développement et test de logiciels",1,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,490.0,5.0
M1805,484038,Promouvoir la collaboration entre les développeurs et les opérateurs pour une meilleure intégration,1,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,490.0,5.0
M1805,491242,Ingénieur diplômé de l'école nationale supérieure d'informatique pour l'industrie et l'entreprise spécialité informatique,1,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,490.0,5.0
M1805,102788,HTML,1,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,490.0,5.0
M1805,484402,Documenter les procédures techniques pour les utilisateurs,1,Développeur / Développeuse informatique,490.0,0.0,7,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,490.0,5.0
M1810,300204,Administrer un système d'informations,5,Technicien / Technicienne d'exploitation informatique,410.0,0.0,5,0,0.0,2,cluster_equilibre_demande_offre,M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",eleve,7667,3648,295,2050.0,1.0
M1810,109971,Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives,4,Technicien / Technicienne d'exploitation informatique,410.0,0.0,5,0,0.0,2,cluster_equilibre_demande_offre,M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",eleve,7667,3648,295,1640.0,2.0
M1810,109973,"Installer et intégrer le matériel (station, équipement réseau, périphériques, ...) dans l'environnement de production et configurer les ressources logistiques et physiques",4,Technicien / Technicienne d'exploitation informatique,410.0,0.0,5,0,0.0,2,cluster_equilibre_demande_offre,M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",eleve,7667,3648,295,1640.0,2.0
M1810,300184,Apporter une assistance technique aux équipes,3,Technicien / Technicienne d'exploitation informatique,410.0,0.0,5,0,0.0,2,cluster_equilibre_demande_offre,M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",eleve,7667,3648,295,1230.0,3.0
M1810,501946,Mettre en place des solutions de sauvegarde et de récupération des données,2,Technicien / Technicienne d'exploitation informatique,410.0,0.0,5,0,0.0,2,cluster_equilibre_demande_offre,M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",eleve,7667,3648,295,820.0,4.0
M1810,400184,Gérer et déployer des logiciels à distance,2,Technicien / Technicienne d'exploitation informatique,410.0,0.0,5,0,0.0,2,cluster_equilibre_demande_offre,M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",eleve,7667,3648,295,820.0,4.0
M1810,484478,Développer des scripts pour automatiser les tâches,2,Technicien / Technicienne d'exploitation informatique,410.0,0.0,5,0,0.0,2,cluster_equilibre_demande_offre,M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",eleve,7667,3648,295,820.0,4.0
M1810,501949,Planifier les mises à jour systèmes sans interruption de service,2,Technicien / Technicienne d'exploitation informatique,410.0,0.0,5,0,0.0,2,cluster_equilibre_demande_offre,M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",eleve,7667,3648,295,820.0,4.0
M1810,115552,Gérer les droits d'accès des utilisateurs,2,Technicien / Technicienne d'exploitation informatique,410.0,0.0,5,0,0.0,2,cluster_equilibre_demande_offre,M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",eleve,7667,3648,295,820.0,4.0
M1810,400451,Agir rapidement en cas de panne pour minimiser les interruptions,1,Technicien / Technicienne d'exploitation informatique,410.0,0.0,5,0,0.0,2,cluster_equilibre_demande_offre,M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",eleve,7667,3648,295,410.0,5.0
M1810,300203,Gérer une base de données numériques,1,Technicien / Technicienne d'exploitation informatique,410.0,0.0,5,0,0.0,2,cluster_equilibre_demande_offre,M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",eleve,7667,3648,295,410.0,5.0
M1810,484475,Former les utilisateurs aux nouvelles technologies,1,Technicien / Technicienne d'exploitation informatique,410.0,0.0,5,0,0.0,2,cluster_equilibre_demande_offre,M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",eleve,7667,3648,295,410.0,5.0
M1508,100541,"Techniques de communication orales, écrites et numériques",2,Conseiller / Conseillère en gestion de carrière,340.0,0.0,2,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,680.0,1.0
M1508,109565,"Analyser les besoins de l'entreprise en formation, en recrutement et en mobilité professionnelle",2,Conseiller / Conseillère en gestion de carrière,340.0,0.0,2,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,680.0,1.0
M1508,300004,Recruter et intégrer une personne,2,Conseiller / Conseillère en gestion de carrière,340.0,0.0,2,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,680.0,1.0
M1508,108375,Méthode de Gestion Prévisionnelle des Emplois et des Compétences (GPEC),1,Conseiller / Conseillère en gestion de carrière,340.0,0.0,2,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,340.0,2.0
H2502,300175,"Piloter la gestion de la production, de l'exploitation",2,Responsable d'unité de production industrielle,300.0,0.0,2,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,600.0,1.0
H2502,122112,Analyse de données de production,2,Responsable d'unité de production industrielle,300.0,0.0,2,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,600.0,1.0
H2502,300312,Mettre en place des solutions d'amélioration de la performance,2,Responsable d'unité de production industrielle,300.0,0.0,2,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,600.0,1.0
M1419,109529,Communiquer les résultats des études aux parties prenantes,28,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,7840.0,1.0
M1419,109527,Adapter les outils de traitement statistique de données,26,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,7280.0,2.0
M1419,300067,"Analyser, exploiter, structurer des données",3,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,840.0,3.0
M1419,116314,MySQL,3,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,840.0,3.0
M1419,480869,Machine Learning,2,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,560.0,4.0
M1419,492631,Conception de tableaux de bord de gestion,2,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,560.0,4.0
M1419,501122,Analyser des données pour identifier des tendances,2,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,560.0,4.0
M1419,501127,Collaborer avec des équipes pour intégrer des analyses,2,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,560.0,4.0
M1419,482516,Développer des tableaux de bord pour suivre les indicateurs de performance (KPI),2,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,560.0,4.0
M1419,115921,Big data Analytics,2,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,560.0,4.0
M1419,479840,Analyse de données client,2,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,560.0,4.0
M1419,113798,Programmation en Python,2,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,560.0,4.0
