rome_code,competence_code,competence_libelle_rome,nombre_offres
M1430,109529,Communiquer les résultats des études aux parties prenantes,2
M1889,493946,Développement de produits basés sur l'IA,3
M1889,487086,Développer des algorithmes pour l'analyse de données,3
M1873,504447,Concevoir des architectures de systèmes embarqués pour l'IA,1
M1811,109763,Système d'exploitation Linux,3
H1215,477124,Gestion de bases de données biologiques,1
M1508,300004,Recruter et intégrer une personne,2
H1208,104536,Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation,1
M1805,484119,Gérer les versions de logiciels et leurs mises à jour,2
M1818,300488,Concevoir et gérer un projet,1
I1616,104547,Pneumatique,3
M1851,113255,Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle,3
M1811,400707,Animer une démarche agile et innovante,1
M1419,115921,Big data Analytics,2
K2108,108517,"Concevoir et préparer les cours, les travaux dirigés ou les travaux pratiques",1
M1811,300492,Actualiser régulièrement ses connaissances,2
M1419,482516,Développer des tableaux de bord pour suivre les indicateurs de performance (KPI),2
L1505,125763,Installer le matériel et les équipements sur un lieu de tournage,1
M1818,102788,HTML,1
M1806,300679,"Tester un logiciel, un système d'informations, une application",3
M1717,494990,Gestion des brevets et propriété intellectuelle,1
M1805,404081,BTS services informatiques aux organisations option B : solutions logicielles et applications métiers,1
M1805,300641,Piloter les fonctionnalités des équipements et systèmes de sécurité informatique,2
M1805,300679,"Tester un logiciel, un système d'informations, une application",2
M1827,479267,Optimisation de la performance des systèmes,2
M1827,300411,Parler une ou plusieurs langues étrangères,2
M1864,109818,Elaborer des solutions techniques et fonctionnelles,1
M1873,300682,Travailler en réseau et coopérer avec des profils métiers diversifiés,1
M1419,492631,Conception de tableaux de bord de gestion,2
H2502,300312,Mettre en place des solutions d'amélioration de la performance,2
I1620,104547,Pneumatique,1
M1851,486355,Collaborer avec les équipes pour comprendre les besoins en données,2
M1851,116942,Réaliser un audit,2
M1818,478668,Développement front-end et back-end,1
M1867,300488,Concevoir et gérer un projet,2
M1811,115531,"Sélectionner, assembler et intégrer des composants informatiques (progiciels, bases de données, développements spécifiques, ...)",3
M1852,300688,Application web,3
M1827,106861,Intégration de systèmes,1
M1864,120326,Recenser les besoins du commanditaire,1
M1861,109862,Architecture web,1
H1215,482455,Respecter les normes de confidentialité des données génétiques,1
H1520,124842,Contrôler des données qualité,2
M1405,513457,Utiliser l'anglais dans un contexte professionnel,1
M1851,403933,Garantir la confidentialité des informations,2
M1851,300469,"Préparer et animer une réunion, un groupe de travail, un atelier",2
M1889,492668,Connaissance approfondie en mathématiques,3
M1827,300450,Respecter la confidentialité des informations,1
M1211,119405,Procédures de contrôle comptable,1
M1802,300149,"Evaluer, prévenir, et gérer les risques et la sécurité",1
M1852,109979,Surveiller le fonctionnement d'applicatifs et logiciels,1
I1306,402142,"Etablir les préconisations et les recommandations d'utilisation, de mise en service, de démontage ou d'entretien",1
I1306,489513,Gérer les stocks de matériel de maintenance et de pièces de rechange,1
M1419,300452,"Collecter et analyser des données, des informations",1
K2111,300026,Concevoir l'ingénierie de formation et les séquences pédagogiques,2
M1405,115921,Big data Analytics,1
M1827,102788,HTML,1
M1811,113255,Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle,1
H1520,126037,Suivre les évolutions réglementaires,1
I1616,100017,Règles de sécurité,1
M1827,300488,Concevoir et gérer un projet,2
I1404,126530,Dépanner des équipements informatiques,1
K2108,120501,Concevoir des modules de formation,1
K2108,108475,Développer une démarche pédagogique pour l'enseignement des savoirs fondamentaux,1
M1880,507032,Concevoir des solutions numériques adaptées au secteur de la santé,1
M1805,113317,Développer une application en lien avec une base de données,2
M1802,109814,Réseaux informatiques et télécoms,1
I1616,107034,Spécificités d'un moteur électrique,1
H1215,300462,Rendre compte de son activité,1
M1810,400451,Agir rapidement en cas de panne pour minimiser les interruptions,1
M1717,503850,Argumenter pour obtenir des financements,1
H1218,119161,Identifier les contraintes d'un projet,1
M1864,120325,Présenter les évolutions du système d'information au commanditaire,1
M1889,508618,Développer des modèles prédictifs pour l'analyse de données,31
M1827,121719,Coder des données,4
M1419,480869,Machine Learning,2
M1811,300496,Identifier ses axes de progrès,2
M1827,113277,Méthode AGILE,2
M1851,116397,Traiter des données,3
M1718,300312,Mettre en place des solutions d'amélioration de la performance,3
M1718,499418,Veille concurrentielle sur le marché digital,3
M1806,503742,Développer des stratégies pour l'intégration des systèmes,2
M1806,503744,Identifier les opportunités d'automatisation des processus,3
M1827,484491,Optimiser l'utilisation des ressources cloud,2
M1419,109527,Adapter les outils de traitement statistique de données,38
M1855,102732,Langages de programmation informatique,2
M1827,109870,Java,4
M1811,300664,Rédiger des documents d'ingénierie (rédaction des spécifications fonctionnelles et livrables techniques des solutions),3
I1404,300082,"Analyser, résoudre un problème courant ou complexe",1
H1215,120940,Analyser des résultats d'exploitation bio-informatiques,2
M1419,501127,Collaborer avec des équipes pour intégrer des analyses,2
M1805,484402,Documenter les procédures techniques pour les utilisateurs,2
M1818,400184,Gérer et déployer des logiciels à distance,1
M1811,113330,"Superviser, coordonner les réalisations ou développements informatiques (collaborateurs, sous-traitants)",1
M1855,113312,"Optimiser des algorithmes, une application informatique et mettre en oeuvre leur développement",2
M1827,300077,"Créer, élaborer et identifier des concepts innovants",1
M1851,486358,Intégrer des considérations éthiques dans l'analyse de données,2
I1616,123775,Assembler les éléments d'un engin ou d'un matériel,1
I1306,106742,Contrôler l'étanchéité,1
M1855,485223,Tester et valider les fonctionnalités du logiciel,2
M1855,126535,Réaliser des études et développements informatiques,2
M1508,109565,"Analyser les besoins de l'entreprise en formation, en recrutement et en mobilité professionnelle",2
M1841,400184,Gérer et déployer des logiciels à distance,1
M1805,126535,Réaliser des études et développements informatiques,1
I1616,100213,Matériel de levage,1
M1811,400320,Piloter le déploiement et l'intégration d'outils d'optimisation au sein des processus métiers,1
M1502,100541,"Techniques de communication orales, écrites et numériques",1
M1811,300312,Mettre en place des solutions d'amélioration de la performance,2
M1419,508618,Développer des modèles prédictifs pour l'analyse de données,1
M1419,300200,Exploiter des solutions de Data Science ou d'Intelligence Artificielle,2
K2108,300022,"Enseigner, développer des compétences",1
K2108,300458,"Structurer, synthétiser des informations",1
M1880,482950,Proposer des solutions adaptées aux problématiques de santé,1
H1215,508397,Collaborer avec des équipes internationales pour des projets de recherche,1
M1827,116349,Déploiement de services cloud (cloud computing),2
K2205,300152,Préparer du matériel en prévision d'un travail,1
M1827,110150,Anglais technique,2
H2903,100822,Techniques d'usinage,1
M1855,300188,"Rédiger un cahier des charges, des spécifications techniques",2
M1855,491242,Ingénieur diplômé de l'école nationale supérieure d'informatique pour l'industrie et l'entreprise spécialité informatique,1
H2605,100286,Techniques de soudure,1
M1818,300196,"Concevoir l'architecture d'un système, d'un réseau",2
M1842,300495,Evaluer le résultat de ses actions,1
M1841,300067,"Analyser, exploiter, structurer des données",1
M1811,123967,Rédiger le contenu d'un support de communication,1
M1805,404136,"Licence pro mention métiers de l'informatique : conception, développement et test de logiciels",2
M1805,491246,Licence pro mention métiers de l'informatique : conduite de projets,1
K2202,107957,Laver des vitres ou d'autres surfaces,1
H3302,100016,Gestes et postures de manutention,1
M1204,116477,Indicateurs de suivi d'activité,2
M1419,513111,Interpréter des résultats de campagne média,1
I1620,300180,"Contrôler la conformité d'un équipement, d'une machine, d'une installation",1
K2108,300026,Concevoir l'ingénierie de formation et les séquences pédagogiques,1
M1102,300315,"Identifier et sélectionner des fournisseurs, sous-traitants, prestataires",1
M1851,300579,Communiquer auprès de ses interlocuteurs internes et externes,1
M1879,486963,Optimiser les performances des systèmes cloud,1
H2502,122112,Analyse de données de production,2
F1117,483421,Planifier et coordonner les activités de projet CVC,1
I1616,124715,Supports de manutention,1
I1306,501701,Rédiger des rapports d'intervention détaillés,1
I1310,300180,"Contrôler la conformité d'un équipement, d'une machine, d'une installation",1
D1106,300375,"Organiser, aménager un espace de vente",1
M1889,508631,Collaborer avec des experts en éthique pour évaluer les projets d'IA,1
E1405,125868,Google Analytics,1
M1880,482816,Communiquer avec les professionnels de santé pour collecter des informations,1
M1841,109846,Concevoir une application web,2
M1201,300382,"Réaliser une étude de marché, évaluer le potentiel d'un produit ou service",3
M1855,300688,Application web,18
M1811,113317,Développer une application en lien avec une base de données,2
M1806,300488,Concevoir et gérer un projet,35
M1805,484405,Traiter les retours utilisateurs pour améliorer les systèmes,1
H3302,106408,Inspecter visuellement les produits finis pour détecter les défauts,1
M1802,300195,"Concevoir un logiciel, un système d'informations, une application",5
M1405,113798,Programmation en Python,2
M1855,300200,Exploiter des solutions de Data Science ou d'Intelligence Artificielle,2
M1827,400199,Analyser les besoins informatiques,3
D1106,300181,"Entretenir un équipement, une machine, une installation",1
M1811,404139,Mastère spécialisé expert big data engineer,4
M1806,505243,Analyser les besoins des utilisateurs pour la conception de systèmes,6
F1117,300488,Concevoir et gérer un projet,1
M1851,300067,"Analyser, exploiter, structurer des données",3
M1879,505357,Diagnostiquer et résoudre les problèmes techniques du Cloud,1
M1879,486983,Surveiller les tendances du marché du cloud,1
M1810,109973,"Installer et intégrer le matériel (station, équipement réseau, périphériques, ...) dans l'environnement de production et configurer les ressources logistiques et physiques",5
M1879,484478,Développer des scripts pour automatiser les tâches,1
M1419,487088,Utiliser des logiciels statistiques pour le traitement de données,2
K2108,300426,Utiliser les outils numériques,1
M1827,491247,Master mention informatique,3
M1827,300458,"Structurer, synthétiser des informations",1
H1215,402226,Favoriser un environnement de travail collaboratif,1
I1616,106362,Circuits hydrauliques,3
M1806,400454,Evaluer les risques SIC (système information et communication),1
M1805,106844,Règles de sécurité Informatique et Télécoms,1
K2111,126285,Techniques de formation individuelle,1
M1889,494232,Evaluation de modèles d'IA,1
M1882,507592,Documenter les procédures de sécurité,1
M1405,300068,Réaliser une analyse ou modélisation statistique de données,1
M1211,117019,Méthodes et procédures de contrôle comptable,1
M1718,484408,Optimiser la visibilité des publications sur les réseaux sociaux,3
M1851,403441,Effectuer un reporting régulier à la hiérarchie,2
I1306,400553,"Déposer les appareils et tuyauteries obsolètes (changement, rénovation)",1
H1520,300258,Contrôler la qualité et la conformité des process,2
M1852,300188,"Rédiger un cahier des charges, des spécifications techniques",3
M1811,300366,Recueillir et analyser les besoins client,2
M1884,117024,Proposer des améliorations pour augmenter l'efficacité des systèmes,1
M1863,300679,"Tester un logiciel, un système d'informations, une application",1
M1827,400796,Vérifier la compatibilité des développements produits avec les spécifications,2
M1827,300579,Communiquer auprès de ses interlocuteurs internes et externes,3
M1405,120317,Assurer le suivi de la qualité des données,1
M1810,400184,Gérer et déployer des logiciels à distance,2
C1209,121281,"Analyser la situation financière d'un client : vérification de ses revenus, de ses dettes, des dispositifs légaux et de sa capacité de remboursement",1
M1828,300575,Allouer et organiser les ressources d'un projet selon les besoins et contraintes,1
M1884,507946,Analyser les besoins de sécurité informatique,1
M1818,120803,Programmation logicielle,1
M1811,404331,Adapter les méthodes de travail à la réglementation locale,2
M1811,404185,Convaincre en argumentant avec un ou plusieurs interlocuteurs,1
M1827,400285,"Mettre en place une blockchain (protocoles, consensus etc.)",1
H1215,300253,Contrôler la conformité des données,1
M1876,486963,Optimiser les performances des systèmes cloud,1
I1616,114975,"Réaliser un dépannage sur site ou le remorquage d'un engin (engin de chantier, machine agricole, etc.)",1
M1841,109851,Gestion des configurations,1
M1827,484489,Améliorer la qualité du code par des revues systématiques,2
K2108,108816,Logique mathématique,1
M1861,478668,Développement front-end et back-end,1
