entreprise_nom,nombre_offres,codes_rome_distincts,regions_distinctes,derniere_collecte
Seyos,2,2,1,2026-08-31 21:32:25+02
AXON CABLE,1,1,1,2026-08-14 18:45:53+02
ANECOOP FRANCE,1,1,1,2026-08-31 21:32:30+02
N.I.T.D. NUMERIQUE INFORMATIQUE TRANSMIS,1,1,1,2026-08-14 18:45:53+02
ROSARA,2,1,1,2026-08-31 21:32:21+02
SPARK CLEANTECH,1,1,1,2026-08-31 21:32:22+02
SOC EUROPEENNE DE CARDIOLOGIE-SEC,1,1,1,2026-08-31 21:32:21+02
LACTALIS INFORMATIQUE,1,1,1,2026-08-15 00:53:20+02
Virbac,1,1,1,2026-08-14 18:41:06+02
SCES COMMUNS IMT BUSINESS SCHOOL TELECOM,1,1,1,2026-08-14 18:45:51+02
STRICHER,1,1,1,2026-08-14 18:45:53+02
Kent,2,1,1,2026-08-31 21:32:23+02
MANPOWER FRANCE,1,1,1,2026-08-31 21:32:20+02
SOCIETE AIR FRANCE,4,3,1,2026-08-31 21:32:30+02
Kaino,6,4,1,2026-08-31 21:32:30+02
SAFRAN AIRCRAFT ENGINES,1,1,1,2026-08-14 18:45:53+02
GOLDEN PORTAGE,1,1,1,2026-08-14 18:41:06+02
KIND AI,1,1,1,2026-08-14 18:45:51+02
FRANCE UNIVERSITE NUMERIQUE,1,1,1,2026-08-31 21:32:23+02
ORENDA DIGITAL,1,1,1,2026-08-31 21:32:30+02
START PEOPLE,2,2,2,2026-08-31 21:32:22+02
WAGO CONTACT,1,1,1,2026-08-31 21:32:23+02
SYAGE,1,1,1,2026-08-14 18:45:53+02
REXEL FRANCE,2,1,1,2026-08-14 18:41:08+02
BEATRICE ROY RECRUTEMENT & CONSEIL,1,1,1,2026-08-14 18:45:53+02
Association Française des Aidants,1,1,1,2026-08-14 18:45:51+02
Hays France,1,1,1,2026-08-14 18:41:08+02
Soors,5,4,4,2026-08-31 21:32:24+02
MATEN,1,1,1,2026-08-14 18:45:53+02
SOCIETE GESER BEST,10,6,5,2026-08-31 21:32:30+02
EGIS,1,1,1,2026-08-15 00:53:20+02
H CONSULTING,3,2,1,2026-08-31 21:32:28+02
DAVIDSON PACA,2,2,1,2026-08-31 21:32:23+02
PROMAN,2,2,1,2026-08-31 21:32:20+02
SOLUTEC,1,1,1,2026-08-15 00:53:20+02
Lobellia Conseil,3,1,1,2026-08-31 21:32:20+02
ARAMIS,2,2,1,2026-08-31 21:32:23+02
NEUTRINO IAG,1,1,1,2026-08-31 21:32:22+02
CREATIVE CHANNEL,1,1,1,2026-08-31 21:32:22+02
GHD FRANCE,1,1,1,2026-08-31 21:32:20+02
LE MERCATO DE L EMPLOI,5,3,1,2026-08-31 21:32:20+02
DESTOCK MP,1,1,1,2026-08-31 21:32:22+02
OMNICIEL PROFILS ET SOLUTIONS,1,1,1,2026-08-31 21:32:23+02
SPIE ICS,1,1,1,2026-08-31 21:32:23+02
